Started at 2014-07-31 18:03:04

Ignored: Eastwick, stored: 1s, 13c. Got 1s, 13c.
Ignored: Edge of Heaven, stored: 1s, 1c. Got 1s, 1c.
Ignored: El Dorado, stored: 1s, 2c. Got 1s, 2c.
Ignored: Elementary, stored: 2s, 47c. Got 2s, 47c.
Ignored: Eleventh Hour, stored: 1s, 18c. Got 1s, 18c.
Ignored: Eli Stone, stored: 1s, 13c. Got 1s, 13c.
Ignored: Emily Owens M.D., stored: 1s, 13c. Got 1s, 13c.
Ignored: Emma, stored: 1s, 4c. Got 1s, 4c.
Ignored: Emperor Of The Sea, stored: 1s, 1c. Got 1s, 1c.
Ignored: En pilgrims d̦d, stored: 1s, 2c. Got 1s, 2c.
Ignored: Endeavour, stored: 2s, 9c. Got 2s, 9c.
Ignored: Endgame, stored: 1s, 13c. Got 1s, 13c.
Ignored: Engrenages (Spiral) II, stored: 2s, 10c. Got 2s, 10c.
Ignored: Enlightened, stored: 2s, 16c. Got 2s, 16c.
Ignored: Enlisted, stored: 1s, 13c. Got 1s, 13c.
Ignored: Entourage, stored: 6s, 55c. Got 6s, 55c.
Ignored: Episodes, stored: 3s, 25c. Got 3s, 25c.
Ignored: ER, stored: 1s, 22c. Got 1s, 22c.
Ignored: Eternal Law, stored: 1s, 6c. Got 1s, 6c.
Ignored: Eureka, stored: 5s, 78c. Got 5s, 78c.
Ignored: Everybody Hates Chris, stored: 1s, 22c. Got 1s, 22c.
Ignored: Everybody Loves Raymond, stored: 2s, 2c. Got 2s, 2c.
Ignored: Exile, stored: 1s, 3c. Got 1s, 3c.
Ignored: Expedition Impossible, stored: 1s, 10c. Got 1s, 10c.
Ignored: Face Off, stored: 2s, 2c. Got 2s, 2c.
Ignored: Fairly Legal, stored: 2s, 23c. Got 2s, 23c.
Ignored: Faking It, stored: 1s, 8c. Got 1s, 8c.
Ignored: Falcon, stored: 1s, 4c. Got 1s, 4c.
Ignored: Falling Skies, stored: 4s, 34c. Got 4s, 34c.
